"district","grspan","enrltot","teachers","computer","testscr","compstu","expnstu","str","logavginc","elpct","readscr","mathscr"
"Rohnerville Elementary","KK-08",577,29.95000076,134,652.3499756,0.2322357,4882.236816,19.26544189,1.152196569,0,657.2000122,647.5
"Pleasant Grove Joint Union Elementary","KK-08",170,7.5,41,652.4000244,0.241176471,4145.835938,22.66666603,1.075984674,1.764706016,660.2999878,644.5
"Mountain Union Elementary","KK-08",164,8.5,36,652.4000244,0.219512194,7542.038086,19.29411697,1.12665081,0,655.2000122,649.5999756
"South Fork Union Elementary","KK-08",382,22,75,652.5,0.196335077,5247.018066,17.36363602,1.062732359,0,653.0999756,651.9000244
"Jamul-Dulzura Union Elementary","KK-08",1221,61.59999847,250,652.8499756,0.20475021,5169.814941,19.8214283,1.279347471,7.289107323,656.7999878,648.9000244
"Live Oak Elementary","KK-08",2214,108.3499985,213,653.0999756,0.096205965,5951.005859,20.43377876,1.215029167,17.02800369,656.0999756,650.0999756
"Menifee Union Elementary","KK-08",4523,215,409,653.4000244,0.090426706,4746.572266,21.03720856,1.147923527,10.43555164,653.7000122,653.0999756
"Lakeside Union Elementary","KK-08",793,39.79999924,49,653.5,0.061790667,4944.092285,19.92462349,1.280305161,2.269861221,652.4000244,654.5999756
"Whisman Elementary","KK-08",1678,88.26999664,254,653.5499878,0.151370674,6306.487305,19.00985718,1.317436506,28.24791336,655.5999756,651.5
"McCabe Union Elementary","KK-08",536,22.5,35,653.5500488,0.065298505,4260.306641,23.82222176,1.011316641,8.768656731,653.4000244,653.7000122
"Lammersville Elementary","KK-08",307,15.85000038,36,653.6999512,0.117263846,4718.163086,19.36908531,1.163697948,7.491856575,654.0999756,653.2999878
"Lassen View Union Elementary","KK-08",347,17.5,56,653.7999878,0.161383286,4751.299805,19.82857132,1.008685305,9.798271179,655.5,652.0999756
"Loleta Union Elementary","KK-08",168,11.01000023,30,653.8499756,0.178571433,5653.453613,15.25885487,1.09697949,12.5,655.9000244,651.7999878
"Junction Elementary","KK-08",532,31,81,653.9499512,0.152255639,5920.253418,17.16129112,1.143202229,0,656.5999756,651.2999878
"Rosemead Elementary","KK-08",3272,150,374,654.0999756,0.114303179,4825.59082,21.81333351,0.999391564,31.20415497,651.4000244,656.7999878
"Grass Valley Elementary","KK-08",2045,107.2099991,268,654.1999512,0.131051347,5532.582031,19.07471275,1.137100801,1.369193196,657.7999878,650.5999756
"Buena Vista Elementary","KK-08",156,6.050000191,7,654.1999512,0.044871796,3926.06958,25.78512383,1.004235348,9.615385056,659.7999878,648.5999756
"Kernville Union Elementary","KK-08",1129,61.99000168,164,654.2999878,0.145261288,5805.636719,18.21261406,1.052732421,0,655.0999756,653.5
"Galt Joint Union Elementary","KK-08",3669,201.9700012,500,654.5999756,0.136276916,4899.239746,18.16606331,1.121395693,24.25728989,652.7000122,656.5
"Southside Elementary","KK-08",157,9.25,19,654.8499756,0.12101911,4884.862305,16.97297287,1.134495859,9.554140091,654.2000122,655.5
"Lakeside Union Elementary","KK-08",4928,229.1999969,618,654.8499756,0.125405848,5139.9375,21.50087357,1.165036484,5.92532444,653.5,656.2000122
"Nuestro Elementary","KK-08",103,5,13,654.9000244,0.126213595,5249.364746,20.60000038,0.943296616,0.970873773,662.2000122,647.5999756
"Alvina Elementary","KK-08",175,10.30000019,17,655.0499878,0.09714286,5399.070313,16.9902916,1.01443654,18.2857132,650,660.0999756
"Oakley Union Elementary","KK-08",4153,199.8600006,241,655.0500488,0.058030341,4965.290039,20.77954483,1.212799979,4.984348774,657.4000244,652.7000122
"Etna Union Elementary","KK-06",280,18.04999924,67,655.0500488,0.239285707,6210.323242,15.51246643,1.027607782,4.285714626,660.4000244,649.7000122
"Jefferson Elementary","KK-08",865,43.5,96,655.1999512,0.110982656,4797.503418,19.88505745,1.163697948,3.352601051,660.7999878,649.5999756
"Berryessa Union Elementary","KK-08",8735,408.2000122,1120,655.3000488,0.128219798,5397.161621,21.39882278,1.270226841,32.70749664,655.4000244,655.2000122
"Kit Carson Union Elementary","KK-08",412,20.10000038,72,655.3499756,0.174757287,5078.5,20.49751282,1.045948545,9.46601963,653,657.7000122
"Sylvan Union Elementary","KK-08",6373,329.1199951,624,655.3499756,0.097913072,4733.746582,19.36375809,1.164283445,6.260787487,657.5999756,653.0999756
"Oak View Union Elementary","KK-08",332,18.79999924,73,655.4000244,0.219879523,4963.060059,17.65957451,1.190135522,13.25301266,653.2000122,657.5999756
"Auburn Union Elementary","KK-08",2903,138.1199951,192,655.5499878,0.066138476,5431.177246,21.01795578,1.211440918,3.169135332,662,649.0999756
"North County Joint Union Elementary","KK-08",565,29.64999962,60,655.6999512,0.10619469,5382.088867,19.0556488,1.134495859,16.9911499,651.5999756,659.7999878
"Pioneer Union Elementary","KK-08",586,26,78,655.7999878,0.1331058,5724.441895,22.53846169,1.093211494,0.853242338,662,649.5999756
"Central Elementary","KK-08",5068,240.1000061,626,655.8499756,0.123520128,4843.427246,21.10787201,1.185570493,6.649565697,655.9000244,655.7999878
"Pacheco Union Elementary","KK-08",859,42.84000015,118,656.4000244,0.137369037,5730.349121,20.05135345,1.102639496,0.116414435,654.0999756,658.7000122
"Chicago Park Elementary","KK-08",145,10.21000004,20,656.5,0.137931034,5635.786133,14.20176315,1.137100801,0,657.7999878,655.2000122
"Brisbane Elementary","KK-08",649,35.125,155,656.5500488,0.238828972,5671.657227,18.47686768,1.249939926,6.933744431,658.7000122,654.4000244
"Central Union Elementary","KK-08",1789,96,435,656.6500244,0.243152604,7070.633301,18.63541603,1.023526836,9.558412552,655.4000244,657.9000244
"Happy Valley Union Elementary","KK-08",775,37,50,656.7000122,0.064516127,5097.343262,20.94594574,1.022139561,0.90322578,661.5,651.9000244
"Mark Twain Union Elementary","KK-08",777,36.84999847,148,656.8000488,0.190476194,5482.677246,21.08548164,1.12198638,1.158301115,663.4000244,650.2000122
"San Rafael City Elementary","KK-08",3518,188.1999969,419,656.8000488,0.119101763,5642.832031,18.69288063,1.351661044,40.10801697,656.7000122,656.9000244
"Cajon Valley Union Elementary","KK-08",19294,924.5700073,2401,657,0.124442831,5280.023438,20.86807823,1.195474949,16.66321182,657.5999756,656.4000244
"Campbell Union Elementary","KK-08",7661,386.4200134,1158,657,0.151155204,5433.339844,19.82557678,1.370767437,21.95535851,657.2999878,656.7000122
"Browns Elementary","KK-08",158,8,34,657.1500244,0.215189874,4529.283691,19.75,1.066288652,8.860759735,661,653.2999878
"Clear Creek Elementary","KK-08",117,6,42,657.4000244,0.358974367,6039.98584,19.5,1.213677126,0.854700923,664.9000244,649.9000244
"Trinidad Union Elementary","KK-08",160,8.699999809,37,657.5,0.231250003,6168.229492,18.39080429,1.148417558,0,672.7999878,642.2000122
"Guerneville Elementary","KK-08",511,27.20000076,30,657.5500488,0.058708414,5774.970215,18.78676414,1.128302326,3.913894176,664.2000122,650.9000244
"San Bruno Park Elementary","KK-08",2770,140.1100006,296,657.6500244,0.106859207,4806.761719,19.77017975,1.263351953,11.94945908,659.7000122,655.5999756
"Antelope Elementary","KK-08",551,28.5,46,657.75,0.083484575,4840.936035,19.33333397,1.057894206,3.992740393,660.2000122,655.2999878
"Centralia Elementary","KK-06",5205,242.5,474,657.7999878,0.091066286,4954.466309,21.46391678,1.19727827,22.93948174,655.0999756,660.5
"Etiwanda Elementary","KK-08",6437,278.8399963,622,657.9000244,0.096628867,4023.531738,23.08492279,1.198079484,2.485630035,658.5,657.2999878
"Wiseburn Elementary","KK-08",1712,81.27999878,122,658,0.071261682,5179.411133,21.0629921,1.148047102,9.871495247,657,659
"Scotia Union Elementary","KK-08",370,19.79999924,56,658.3499756,0.151351348,4385.229492,18.68686867,1.08543329,0.540540576,664,652.7000122
"Mountain View Elementary","KK-08",3182,153.1999969,328,658.5999756,0.103079826,4777.512695,20.77023506,1.110589697,8.95663166,654.7000122,662.5
"Pleasant Valley Joint Union Elementary","KK-06",139,7.199999809,32,658.7999878,0.230215833,4862.790527,19.30555534,1.040246204,6.47481966,661.2999878,656.2999878
"Oak Grove Elementary","KK-08",11855,588.8400269,1507,659.0500488,0.127119362,5486.029785,20.13280296,1.241426927,20.72543144,654.9000244,663.2000122
"Pollock Pines Elementary","KK-08",1068,51.66999817,129,659.1500244,0.120786518,5486.382324,20.66963577,1.169086364,0.187265918,662.0999756,656.2000122
"Castaic Union Elementary","KK-08",2295,103,224,659.3499756,0.097603485,4631.243652,22.28155327,1.164442076,13.98692894,658.2999878,660.4000244
"Bishop Union Elementary","KK-08",1510,73.30000305,141,659.4000244,0.093377486,5189.62793,20.60027122,1.131051631,8.741721153,662.7999878,656
"Buellton Union Elementary","KK-08",579,27.79999924,60,659.4000244,0.103626944,4600.606445,20.82733917,1.221909563,20.03454208,660,658.7999878
"Chawanakee Jt. Elementary","KK-08",1012,52.63999939,140,659.7999878,0.138339922,6735.775391,19.22492409,1.131048967,1.383399248,660.7999878,658.7999878
"Yreka Union Elementary","KK-08",1212,68.65000153,107,659.9000244,0.088283829,5475.172852,17.6547699,1.097534935,2.062706232,660.4000244,659.4000244
"Alexander Valley Union Elementary","KK-06",119,7,23,660.0500488,0.193277314,5990.794434,17,1.263067687,28.57143021,661.7000122,658.4000244
"Twin Ridges Elementary","KK-08",590,35.76250076,78,660.0999756,0.132203385,7203.246582,16.49772835,1.059411922,0.169491529,673.0999756,647.0999756
"Sundale Union Elementary","KK-08",546,27.60000038,60,660.1999512,0.109890111,4777.769043,19.78260803,1.004235348,13.73626423,659.7999878,660.5999756
"Three Rivers Union Elementary","KK-08",248,11.11999989,51,660.2999878,0.205645159,4302.834961,22.30215836,1.186532558,0,667.7999878,652.7999878
"Columbia Union Elementary","KK-08",461,26,150,660.75,0.32537961,5630.194824,17.73077011,1.0133148,0.21691975,666.9000244,654.5999756
"Westside Union Elementary","KK-08",6312,308.6799927,496,660.9499512,0.078580484,4708.625,20.44836044,1.230107116,3.121039391,662.0999756,659.7999878
"Ballico-Cressey Elementary","KK-08",285,13.98999977,62,661.3499756,0.217543855,5629.961426,20.37169456,0.982813783,47.36842346,661.0999756,661.5999756
"Millbrae Elementary","KK-08",2325,115.3000031,302,661.4500122,0.129892468,4890.986816,20.16478729,1.324498527,22.70967865,662,660.9000244
"Evergreen Elementary","KK-08",11885,549.8400269,1790,661.5999756,0.150610015,4929.393066,21.61537743,1.216780934,29.12074089,659.0999756,664.0999756
"Harmony Union Elementary","KK-08",564,27.43000031,46,661.5999756,0.081560284,4905.221191,20.56142807,1.264085502,4.43262434,672.4000244,650.7999878
"Panama Buena Vista Union Elementary","KK-08",12380,620.3800049,1671,661.8499756,0.134975761,5156.856934,19.95551109,1.221521477,4.814216614,660.0999756,663.5999756
"Laguna Salada Union Elementary","KK-08",3772,178.0599976,529,661.8499756,0.140243903,4941.787598,21.18387032,1.268208615,5.249204636,665.4000244,658.2999878
"Sonora Elementary","KK-08",895,47.58000183,70,661.8499756,0.078212291,5408.781738,18.8104229,1.15167624,1.899441361,662.7000122,661
"Roseville City Elementary","KK-08",5714,277.6700134,489,661.9000244,0.085579276,4981.387695,20.57838249,1.255984992,8.66293335,664.2999878,659.5
"Gratton Elementary","KK-08",105,5.730000019,16,661.9000244,0.152380958,4877.086426,18.32460785,1.133091624,10.47619057,662.5,661.2999878
"Susanville Elementary","KK-08",1449,76.98999786,125,661.9500122,0.086266391,5111.739258,18.82062721,1.101747086,1.242236018,660.4000244,663.5
"Bella Vista Elementary","KK-08",510,24.5,95,662.4000244,0.186274514,5201.515625,20.81632614,1.045440328,0,663.0999756,661.7000122
"Columbine Elementary","KK-08",160,8,39,662.4000244,0.243750006,4138.305664,20,0.875061263,9.375,651.4000244,673.4000244
"Hughes-Elizabeth Lakes Union Elementary","KK-08",433,22,50,662.4500122,0.115473442,5743.597168,19.68181801,1.190499767,1.385681391,665.4000244,659.5
"Mountain View Elementary","KK-08",3186,164.3099976,411,662.5,0.129001886,5702.705078,19.39017677,1.358722722,35.34212112,663.5,661.5
"Sulphur Springs Union Elementary","KK-06",5010,239.3999939,576,662.5500488,0.114970058,4802.152832,20.92731857,1.297172138,9.64071846,661.7000122,663.4000244
"Forestville Union Elementary","KK-08",717,35.95000076,100,662.5500488,0.139470011,5442.143066,19.94436646,1.213438066,2.231520176,669.4000244,655.7000122
"Rosedale Union Elementary","KK-08",3548,170.6499939,335,662.6500244,0.09441939,4522.375488,20.79109383,1.212001038,0.36640361,658.2999878,667
"Columbia Elementary","KK-08",868,45.20000076,78,662.7000122,0.089861751,4965.808105,19.20353889,1.122150324,0.57603687,662.4000244,663
"Colfax Elementary","KK-08",507,26.64999962,60,662.75,0.118343197,5358.326172,19.02439117,1.146438142,0,667.0999756,658.4000244
"Mt. Shasta Union Elementary","KK-08",822,46.65000153,105,662.9000244,0.127737224,5784.625,17.62057877,1.151155258,0.851581514,668.2999878,657.5
"Piner-Olivet Union Elementary","KK-06",1792,88.55000305,143,663.3499756,0.079799108,5072.70459,20.23715401,1.197859229,5.524553776,667.4000244,659.2999878
"Bass Lake Joint Elementary","KK-08",1202,62.29999924,190,663.4499512,0.158069879,5556.041016,19.29373932,1.160868505,0,664.2999878,662.5999756
"Cutten Elementary","KK-06",515,27.35000038,58,663.5,0.11262136,5190.310059,18.82998085,1.152563503,0,660.2000122,666.7999878
"Placerville Union Elementary","KK-08",1354,66.56999969,263,663.8499756,0.194239289,5211.485352,20.3394928,1.180899682,2.437223196,666.4000244,661.2999878
"Wright Elementary","KK-06",1252,65.11000061,113,663.8499756,0.090255588,5284.164063,19.22899628,1.099827353,20.76677322,659.4000244,668.2999878
"Evergreen Union Elementary","KK-08",823,46,127,663.9000244,0.15431349,5331.920898,17.89130402,1.023293608,2.187120438,657.7000122,670.0999756
"Old Adobe Union Elementary","KK-06",2231,114.3000031,258,664,0.115643211,5599.60791,19.51881027,1.229323392,13.62617588,666.2000122,661.7999878
"Wilmar Union Elementary","KK-06",271,14.19999981,81,664,0.298892975,4881.899414,19.08450699,1.248194029,13.28413296,668.7000122,659.2999878
"Ackerman Elementary","KK-08",309,15.5,85,664.1500244,0.275080919,4700.432129,19.93548393,1.211440918,1.941747546,671.2999878,657
"Santa Cruz City Elementary","KK-06",3005,159.2200012,308,664.1500244,0.102495842,5650,18.87325668,1.252872457,23.0615654,666.7000122,661.5999756
"Arcata Elementary","KK-08",966,47.95999908,114,664.2999878,0.118012421,5318.240723,20.14178467,1.073131552,0.621118009,674,654.5999756
"Alta Loma Elementary","KK-08",7710,327.2999878,814,664.4000244,0.105577171,4709.054199,23.55637169,1.269984323,3.255512238,663.4000244,665.4000244
"Foresthill Union Elementary","KK-08",762,35.5,54,664.4499512,0.070866145,5143.19043,21.46478844,1.094506058,0,663.0999756,665.7999878
"Mother Lode Union Elementary","KK-08",1708,89,206,664.7000122,0.120608896,5133.009766,19.19101143,1.180899682,2.224824429,665.5,663.9000244
"Ocean View Elementary","KK-08",9850,489.2999878,1113,664.75,0.112994924,5081.455566,20.13080025,1.319642079,18.55837631,663.7000122,665.7999878
"Lake Elementary","KK-08",129,5,10,664.9499512,0.07751938,4016.41626,25.79999924,1.026900806,6.201550484,667.5999756,662.2999878
"San Mateo-Foster City Elementary","KK-08",10619,565.5100098,1150,664.9500122,0.108296447,5374.050293,18.77774048,1.398454243,18.45748138,665.9000244,664
"Goleta Union Elementary","KK-06",4521,236.5800018,494,665.0999756,0.109267861,5427.548828,19.1098156,1.22421703,32.07255173,666.7999878,663.4000244
"Helendale Elementary","KK-08",580,29.44000053,114,665.2000122,0.196551725,5179.644531,19.70108604,1.184606265,3.965517044,656.2000122,674.2000122
"Petaluma City Elementary","KK-06",2569,138,326,665.3499756,0.126897618,5400,18.615942,1.239785962,15.33670712,669.7999878,660.9000244
"Sunnyvale Elementary","KK-08",6022,286.7999878,756,665.6500244,0.12553969,5726.146484,20.99721146,1.344313674,27.66522789,663.9000244,667.4000244
"College Elementary","KK-08",670,33.5,47,665.9000244,0.07014925,5003.870117,20,1.358734109,12.53731441,670.2999878,661.5
"La Mesa-Spring Valley","KK-08",14708,700.9400024,1962,665.9500122,0.133396789,4969.51123,20.98325157,1.262922523,12.68017483,664.5,667.4000244
"Huntington Beach City Elementary","KK-08",6601,305,706,666,0.106953494,4747.295898,21.6426239,1.398460862,6.908044338,668,664
"Solvang Elementary","KK-08",675,33.70000076,87,666.0500488,0.12888889,4543.305176,20.02967262,1.341573016,14.96296215,668.7000122,663.4000244
"Soquel Elementary","KK-08",2458,124.0699997,193,666.0999756,0.078519121,5229.591309,19.81139755,1.274084684,11.26932526,666.9000244,665.2999878
"Capay Joint Union Elementary","KK-08",144,8,14,666.1500244,0.097222224,4507.353027,18,1.026900806,9.722222328,671.9000244,660.4000244
"Gravenstein Union Elementary","KK-08",573,29.60000038,48,666.1500244,0.083769634,5302.62793,19.35810852,1.243236524,3.315881252,671,661.2999878
"Pleasant Valley Elementary","KK-08",721,35.72999954,82,666.4499512,0.11373093,5545.610352,20.17912102,1.269349479,0.693481266,668.7999878,664.0999756
"Pioneer Union Elementary","KK-08",992,46.97000122,160,666.5500488,0.161290318,4615.908691,21.11986351,1.045948545,5.141129017,671.2000122,661.9000244
"Santee Elementary","KK-08",8432,360.5,0,666.5999756,0,5397.689453,23.38973618,1.14914724,4.969165325,663.7000122,669.5
"Johnstonville Elementary","KK-08",244,11,15,666.6500244,0.061475411,5118.373047,22.18181801,1.101747086,6.967213154,672.0999756,661.2000122
"Pleasant Valley Elementary","KK-08",7116,356.8200073,785,666.6500244,0.110314786,5008.070801,19.94282722,1.320902589,7.99606514,667.5,665.7999878
"Curtis Creek Elementary","KK-08",830,46.65999985,95,666.6999512,0.114457831,4906.030273,17.78825569,1.15167624,0.481927723,662.0999756,671.2999878
"Fort Jones Union Elementary","KK-06",160,10.88000011,38,666.8499756,0.237499997,6870.346191,14.70588207,1.072837883,2.5,666.9000244,666.7999878
"Mark West Union Elementary","KK-06",1588,83.40000153,220,666.8499756,0.138539046,5301.716309,19.04076767,1.271167568,3.841310024,671.2999878,662.4000244
"Alpine Union Elementary","KK-08",2272,108.75,307,667.1500244,0.135123238,5182.365723,20.89195442,1.238848699,1.32042253,667.7000122,666.5999756
"Sebastopol Union Elementary","KK-08",1425,71.83000183,65,667.1999512,0.045614034,4999.46875,19.8385067,1.243236524,4.91228056,669.7999878,664.5999756
"Freshwater Elementary","KK-06",245,12.55000019,30,667.4500122,0.122448981,6732.066406,19.52191162,1.192344382,0,672.2000122,662.7000122
"Norris Elementary","KK-08",1349,65.21250153,259,667.4500122,0.191994071,4612.989746,20.68621826,1.192211907,0.222386956,667,667.9000244
"Springville Union Elementary","KK-08",400,22,65,667.5999756,0.162499994,5478.845703,18.18181801,1.197335699,0,669.2000122,666
"Moreland Elementary","KK-08",4632,245.1799927,637,668,0.137521595,5666.713867,18.89224243,1.311117828,17.85405922,669.4000244,666.5999756
"Maple Elementary","KK-08",224,9,15,668.0999756,0.066964284,4742.51416,24.88888931,0.987174485,4.464285851,660.5,675.7000122
"Kings River-Hardwick Union Elementary","KK-08",576,31,92,668.4000244,0.159722224,4907.392578,18.58064461,1.045948545,9.548611641,665.7999878,671
"Julian Union Elementary","KK-08",451,25,75,668.5999756,0.166297123,5700.402344,18.04000092,1.212746742,3.991130829,672.7000122,664.5
"Cardiff Elementary","KK-06",900,50.75,145,668.6500244,0.161111116,5191.834473,17.73398972,1.341770731,20.66666603,668.7999878,668.5
"Saucelito Elementary","KK-08",118,5.5,10,668.7999878,0.084745765,4451.256836,21.45454597,0.951045949,7.627118587,668.5,669.0999756
"Bonsall Union Elementary","KK-08",1457,73.12999725,0,668.9000244,0,5627.527832,19.92342567,1.300964841,27.45367241,666.2000122,671.5999756
"Cypress Elementary","KK-06",4734,232.75,586,668.9500122,0.123785384,4922.939941,20.33942032,1.274786439,10.85762596,665.5,672.4000244
"Lowell Joint Elementary","KK-08",3303,146.5,379,669.0999756,0.114744172,4969.380859,22.54607582,1.258126212,5.025733948,666.0999756,672.0999756
"Newhall Elementary","KK-06",6055,286.9200134,540,669.3000488,0.089182496,4829.717285,21.10344315,1.374150102,14.23616886,668.9000244,669.7000122
"Lagunitas Elementary","KK-08",424,23.29999924,39,669.3000488,0.091981135,6716.692871,18.19742584,1.345157999,0.235849053,680.9000244,657.7000122
"Cambrian Elementary","KK-08",2801,139.3000031,615,669.3499756,0.219564438,5205.941895,20.10768127,1.312727274,2.070688963,673.2999878,665.4000244
"Richfield Elementary","KK-08",187,9.760000229,37,669.3499756,0.197860956,4357.826172,19.15983582,0.97703732,8.556149483,664.5999756,674.0999756
"Fieldbrook Elementary","KK-08",129,6.599999905,17,669.7999878,0.131782949,5195.918945,19.54545403,1.073131552,0,670.0999756,669.5
"Dehesa Elementary","KK-06",188,9,41,669.8499756,0.21808511,6002.071777,20.88888931,1.274134743,4.787234306,673.2000122,666.5
"Cottonwood Union Elementary","KK-08",1212,65.90000153,116,669.9500122,0.09570957,5090.587891,18.39150238,1.023293608,3.960396051,669.2000122,670.7000122
"Fruitvale Elementary","KK-08",2596,135.3500061,249,670,0.095916793,5112.390137,19.17990303,1.190863735,1.579352856,669.2000122,670.7999878
"Union Elementary","KK-08",4925,253.8959961,753,670.6999512,0.152893394,5287.35498,19.39770699,1.335091198,3.593908548,672.7999878,668.5999756
"Fountain Valley Elementary","KK-08",6257,288.6300049,930,671.25,0.148633525,4889.47998,21.67827225,1.324194987,8.726226807,671.2000122,671.2999878
"Gold Oak Union Elementary","KK-08",868,45,122,671.2999878,0.140552998,5118.130371,19.28888893,1.180899682,0,674.5999756,668
"Buckeye Union Elementary","KK-08",3787,186.1000061,934,671.5999756,0.246633217,5119.123047,20.34927368,1.281419753,0.264061272,674.9000244,668.2999878
"Rocklin Unified","KK-08",6423,306.3800049,855,671.5999756,0.133115366,4792.211426,20.96416092,1.246005925,1.447921515,671.4000244,671.7999878
"Gold Trail Union Elementary","KK-08",678,34.84000015,47,671.6500244,0.069321536,5450.103516,19.46039009,1.180899682,0.147492617,677.5999756,665.7000122
"Hydesville Elementary","KK-08",162,8.399999619,23,671.6999512,0.141975313,5210.724609,19.2857151,1.027064048,0,679.7999878,663.5999756
"Saugus Union Elementary","KK-06",8529,407.7000122,834,671.75,0.097784027,4715.445801,20.91979408,1.316788977,3.705006361,668.9000244,674.5999756
"Loomis Union Elementary","KK-08",1862,89.08999634,231,671.9000244,0.124060154,4632.068359,20.90021324,1.333769601,0.268528461,673.0999756,670.7000122
"Placer Hills Union Elementary","KK-08",1452,70.5,183,671.9000244,0.126033053,5028.561523,20.59574509,1.246892324,0,679.5999756,664.2000122
"Dunham Elementary","KK-06",155,8,32,671.9499512,0.20645161,5695.466797,19.375,1.248194029,4.516129017,672.2999878,671.5999756
"San Carlos Elementary","KK-08",2536,127.1100006,343,672.0499878,0.135252371,4504.294922,19.95122337,1.444294677,2.444794893,676.0999756,668
"Ready Springs Union Elementary","KK-08",567,30.07999992,103,672.0500488,0.181657851,5156.437012,18.84973335,1.269349479,0,673.9000244,670.2000122
"Coarsegold Union Elementary","KK-08",953,52.59999847,135,672.2999878,0.141657919,5433.51416,18.11787033,1.154210868,0,668.0999756,676.5
"Cayucos Elementary","KK-08",296,15.43000031,42,672.3499756,0.141891897,5254.631836,19.18340874,1.357134082,5.405405521,674.5999756,670.0999756
"Richmond Elementary","KK-08",198,9,24,672.4500122,0.121212125,4593.196777,22,1.101747086,0,672.7000122,672.2000122
"Clay Joint Elementary","KK-08",218,10.10000038,49,672.5500488,0.224770635,4320.678711,21.58415794,1.050689025,6.422018051,669.4000244,675.7000122
"Waugh Elementary","KK-06",734,36,117,672.6999512,0.159400538,4920.777344,20.38888931,1.229323392,6.539509296,676.0999756,669.2999878
"Two Rock Union Elementary","KK-06",189,11.60000038,50,673.0499878,0.264550269,6905.869141,16.29310226,1.248194029,14.2857151,679.0999756,667
"Belmont-Redwood Shores Elementary","KK-08",2528,138.3099976,482,673.25,0.19066456,5729.904297,18.27778244,1.408613022,3.678797483,675,671.5
"Rescue Union Elementary","KK-08",2987,154.1699982,290,673.2999878,0.097087376,4825.202148,19.37471581,1.272445015,0.502176106,676.0999756,670.5
"Alta-Dutch Flat Union Elementary","KK-08",208,11,21,673.5499878,0.100961536,5388.17041,18.90909004,1.128496193,0,680.5,666.5999756
"San Pasqual Union Elementary","KK-08",379,23.10000038,29,673.5499878,0.07651715,5133.827148,16.4069252,1.18127178,22.69129372,670.5,676.5999756
"Latrobe Elementary","KK-08",145,9.300000191,27,673.9000244,0.186206892,5346.15625,15.59139729,1.281419753,0,670.5,677.2999878
"Union Hill Elementary","KK-08",706,37.74000168,103,674.25,0.145892352,4789.309082,18.7069416,1.137100801,0.141643062,676,672.5
"Twin Hills Union Elementary","KK-08",878,47.90000153,105,675.4000244,0.119589977,5329.782227,18.32985306,1.243236524,2.733485222,681,669.7999878
"Pacific Union Elementary","KK-08",594,33.18000031,75,675.7000122,0.12626262,5371.172852,17.90235138,1.073131552,1.68350172,683,668.4000244
"Douglas City Elementary","KK-08",139,7.349999905,40,676.1500244,0.287769794,5771.383789,18.91156578,1.122969087,0,680.0999756,672.2000122
"Pleasant Ridge Union Elementary","KK-08",2089,102.7799988,318,676.5499878,0.152225941,4993.634766,20.32496643,1.213677126,0.143609375,673.7999878,679.2999878
"Newcastle Elementary","KK-08",326,16.28000069,42,676.5999756,0.128834352,4854.038086,20.02456856,1.270119586,0,673.2999878,679.9000244
"Mesa Union Elementary","KK-08",516,21.5,50,676.8499756,0.096899226,4392.679688,24,1.375352636,11.04651165,680.5,673.2000122
"Weaverville Elementary","KK-08",449,25.5,50,676.9499512,0.111358576,5884.432129,17.6078434,1.111732857,0,672.7999878,681.0999756
"North Cow Creek Elementary","KK-08",297,15.35000038,70,677.25,0.235690236,4273.993164,19.34853363,1.143202229,0,679,675.5
"Nevada City Elementary","KK-08",1579,80.23999786,165,677.9500122,0.104496516,5146.78418,19.67846489,1.188309643,0.063331224,678.5,677.4000244
"Jacoby Creek Elementary","KK-08",383,20.45000076,49,678.0500488,0.127937332,5351.522949,18.72860527,1.18698456,0,682.9000244,673.2000122
"Fort Ross Elementary","KK-08",81,5.099999905,14,678.4000244,0.172839507,7667.571777,15.88235283,1.352741902,0,685.2999878,671.5
"Encinitas Union Elementary","KK-06",5259,262.230011,701,678.7999878,0.133295298,5281.708984,20.05491257,1.376688234,15.05989742,679,678.5999756
"Dixie Elementary","KK-08",1960,108.9599991,223,679.4000244,0.113775507,5368.50293,17.98825264,1.390988078,1.479591846,684.0999756,674.7000122
"Lakeside Joint Elementary","KK-06",151,8.899999619,31,679.5,0.205298007,6429.257324,16.96629333,1.558396532,2.649006605,676.7999878,682.2000122
"Hermosa Beach City Elementary","KK-08",946,49.16999817,310,679.6500244,0.327695549,5387.458984,19.23937416,1.524461058,1.47991538,683.0999756,676.2000122
"Rincon Valley Union Elementary","KK-06",2707,141.0200043,300,679.75,0.110823788,5235.774902,19.195858,1.311334675,4.469892979,678.7000122,680.7999878
"Washington Union Elementary","KK-08",919,46.88999939,141,679.8000488,0.153427646,4829.896484,19.59906197,1.303930081,0.326441795,680.2000122,679.4000244
"Bennett Valley Union Elementary","KK-06",945,46,216,680.0500488,0.22857143,5088.708008,20.54347801,1.286602417,2.539682627,685.7000122,674.4000244
"Loma Prieta Joint Union Elemen","KK-08",738,39.70199966,220,680.4500122,0.298102975,5390.118164,18.58848381,1.558396532,0.54200542,684.2000122,676.7000122
"Kenwood Elementary","KK-06",164,10.51000023,35,681.2999878,0.213414639,6588.430664,15.60418606,1.359139573,11.58536625,682.7999878,679.7999878
"Liberty Elementary","KK-06",167,10.92000008,29,681.2999878,0.173652694,6196.694824,15.29304028,1.248194029,11.37724495,680.7999878,681.7999878
